real_region	n_bins	rand_start	rand_end	p_spatial	p_directional	p_combined
Trbv1	42	41575400	41584200	4.06238e-16	8.21735e-17	2.45282e-30
Trbv1	42	41016600	41036200	1	1	1
Trbv1	42	41639800	41665400	1	1	1
Trbv1	42	40918000	40938600	1	1	1
Trbv1	42	41567600	41576400	4.02726e-21	8.62936e-20	3.1923e-38
Trbv1	42	41001200	41017600	1	1	1
Trbv1	42	41602800	41612600	0.872125	0.0643426	0.217745
Trbv1	42	41587200	41595800	4.02726e-21	8.62936e-20	3.1923e-38
Trbv1	42	40850800	40869000	1	1	1
Trbv1	42	41575200	41584000	4.06238e-16	8.21735e-17	2.45282e-30
Trbv1	42	41562400	41571400	1.89561e-12	1.98488e-14	2.24031e-24
Trbv1	42	40955000	41004200	1	1	1
Trbv1	42	40854200	40872800	1	1	1
Trbv1	42	41631400	41661600	1	1	1
Trbv1	42	41589200	41598000	4.02726e-21	8.62936e-20	3.1923e-38
Trbv1	42	41012200	41029200	1	1	1
Trbv1	42	40831800	40852000	1	1	1
Trbv1	42	40944000	40963600	1	1	1
Trbv1	42	41601200	41610800	0.0671964	6.75687e-05	6.03983e-05
Trbv1	42	41629600	41656200	1	1	1
Trbv1	42	41594400	41603000	4.02726e-21	8.62936e-20	3.1923e-38
Trbv1	42	41006000	41024200	1	1	1
Trbv1	42	40921400	40940000	1	1	1
Trbv1	42	41609400	41622000	0.972363	0.253658	0.591904
Trbv1	42	40951200	41001000	1	1	1
Trbv1	42	41564800	41573600	4.56974e-18	5.28726e-18	1.95002e-33
Trbv1	42	41564600	41573400	4.39962e-17	2.0844e-17	7.06793e-32
Trbv1	42	41568400	41577200	4.36773e-20	3.40196e-19	1.3091e-36
Trbv1	42	41591200	41600000	3.57554e-22	2.18891e-20	7.48617e-40
Trbv1	42	40929400	40951400	1	1	1
Trbv1	42	41015800	41035600	1	1	1
Trbv1	42	40797200	40815800	1	1	1
Trbv1	42	40825600	40845400	1	1	1
Trbv1	42	41574000	41582600	3.59313e-15	3.23953e-16	8.13941e-29
Trbv1	42	40817000	40839600	1	1	1
Trbv1	42	41648600	41672000	0.972363	0.746342	0.958378
Trbv1	42	41662200	41681000	0.972363	0.746342	0.958378
Trbv1	42	41573400	41582000	3.59313e-15	3.23953e-16	8.13941e-29
Trbv1	42	40823400	40841600	1	1	1
Trbv1	42	40846400	40864800	1	1	1
Trbv1	42	41574200	41582800	3.59313e-15	3.23953e-16	8.13941e-29
Trbv1	42	41599200	41608600	1.58864e-05	4.56552e-09	2.26689e-12
Trbv1	42	40917400	40937000	1	1	1
Trbv1	42	41664800	41685800	0.972363	0.746342	0.958378
Trbv1	42	40956200	41005600	1	1	1
Trbv1	42	40812200	40832000	1	1	1
Trbv1	42	40951400	41001200	1	1	1
Trbv1	42	41592400	41601000	4.02726e-21	8.62936e-20	3.1923e-38
Trbv1	42	41608200	41621000	0.972363	0.253658	0.591904
Trbv1	42	40941400	40961000	1	1	1
Trbv1	42	40955400	41005400	1	1	1
Trbv1	42	41621200	41647600	1	1	1
Trbv1	42	41622800	41648800	1	1	1
Trbv1	42	41595600	41604600	4.06238e-16	8.21735e-17	2.45282e-30
Trbv1	42	41630600	41657600	1	1	1
Trbv1	42	41593200	41601800	4.36773e-20	3.40196e-19	1.3091e-36
Trbv1	42	40917800	40938400	1	1	1
Trbv1	42	41017000	41036800	1	1	1
Trbv1	42	40964200	41014200	1	1	1
Trbv1	42	41574600	41583200	3.59313e-15	3.23953e-16	8.13941e-29
Trbv1	42	40808600	40829200	1	1	1
Trbv1	42	40930000	40951600	1	1	1
Trbv1	42	40829600	40850400	1	1	1
Trbv1	42	40998800	41016400	1	1	1
Trbv1	42	41005600	41022600	1	1	1
Trbv1	42	40934200	40955200	1	1	1
Trbv1	42	40963400	41013400	1	1	1
Trbv1	42	40958800	41009400	1	1	1
Trbv1	42	41602200	41612000	0.475534	0.00413997	0.0142344
Trbv1	42	41657200	41677600	0.972363	0.746342	0.958378
Trbv1	42	40940000	40960600	1	1	1
Trbv1	42	41620400	41645400	1	1	1
Trbv1	42	40852000	40870400	1	1	1
Trbv1	42	41616200	41639400	1	1	1
Trbv1	42	41571800	41580600	4.36773e-20	3.40196e-19	1.3091e-36
Trbv1	42	40811000	40830400	1	1	1
Trbv1	42	41562000	41571000	9.72317e-11	3.08486e-13	1.58555e-21
Trbv1	42	40800200	40817200	1	1	1
