real_region	n_bins	rand_start	rand_end	p_spatial	p_directional	p_combined
Trbv1	125	40868000	40893000	1	1	1
Trbv1	125	41467200	41492200	0.415919	0.788107	0.6934
Trbv1	125	41362600	41387600	0.415919	0.211893	0.302194
Trbv1	125	41174000	41199000	1	1	1
Trbv1	125	41168800	41193800	0.762293	0.460318	0.718379
Trbv1	125	41541200	41566200	1	1	1
Trbv1	125	40865200	40890200	1	1	1
Trbv1	125	41400000	41425000	0.415919	0.211893	0.302194
Trbv1	125	40966200	40991200	1	1	1
Trbv1	125	40872400	40897400	1	1	1
Trbv1	125	41250600	41275600	0.762293	0.539682	0.776797
Trbv1	125	41643600	41668600	1	1	1
Trbv1	125	41433600	41458600	0.168509	0.440603	0.267312
Trbv1	125	41455800	41480800	0.168509	0.559397	0.316882
Trbv1	125	41417600	41442600	0.415919	0.788107	0.6934
Trbv1	125	41477800	41502800	0.0530513	0.255457	0.0718436
Trbv1	125	41239000	41264000	0.168509	0.559397	0.316882
Trbv1	125	40902000	40927000	0.168509	0.440603	0.267312
Trbv1	125	41524600	41549600	1	1	1
Trbv1	125	41184000	41209000	0.762293	0.460318	0.718379
Trbv1	125	41227800	41252800	0.168509	0.440603	0.267312
Trbv1	125	41114400	41139400	1	1	1
Trbv1	125	40949600	40974600	0.762293	0.539682	0.776797
Trbv1	125	41600800	41625800	1	1	1
Trbv1	125	41473800	41498800	0.415919	0.788107	0.6934
Trbv1	125	41353200	41378200	0.0530513	0.255457	0.0718436
Trbv1	125	41142000	41167000	1	1	1
Trbv1	125	41509800	41534800	1	1	1
Trbv1	125	41267200	41292200	0.415919	0.291256	0.376841
Trbv1	125	41177800	41202800	0.762293	0.460318	0.718379
Trbv1	125	40988800	41013800	0.762293	0.539682	0.776797
Trbv1	125	40870600	40895600	1	1	1
Trbv1	125	41275200	41300200	0.415919	0.291256	0.376841
Trbv1	125	41566800	41591800	0.168509	0.157186	0.122665
Trbv1	125	40845800	40870800	0.415919	0.788107	0.6934
Trbv1	125	41541000	41566000	1	1	1
Trbv1	125	41514000	41539000	1	1	1
Trbv1	125	41032000	41057000	0.762293	0.539682	0.776797
Trbv1	125	41342600	41367600	0.168509	0.440603	0.267312
Trbv1	125	40934400	40959400	0.0134657	0.574091	0.045321
Trbv1	125	41453200	41478200	0.168509	0.559397	0.316882
Trbv1	125	41402800	41427800	0.415919	0.211893	0.302194
Trbv1	125	41100200	41125200	1	1	1
Trbv1	125	40849400	40874400	0.415919	0.788107	0.6934
Trbv1	125	41639200	41664200	1	1	1
Trbv1	125	41179800	41204800	0.762293	0.460318	0.718379
Trbv1	125	41571400	41596400	0.168509	0.559397	0.316882
Trbv1	125	41383000	41408000	1	1	1
Trbv1	125	41471000	41496000	1	1	1
Trbv1	125	41454800	41479800	0.168509	0.559397	0.316882
Trbv1	125	40960200	40985200	1	1	1
Trbv1	125	41108400	41133400	1	1	1
Trbv1	125	41198200	41223200	0.762293	0.460318	0.718379
Trbv1	125	41225400	41250400	0.168509	0.440603	0.267312
Trbv1	125	40828200	40853200	0.762293	0.539682	0.776797
Trbv1	125	41268200	41293200	0.415919	0.291256	0.376841
Trbv1	125	40925000	40950000	0.0530513	0.744543	0.167139
Trbv1	125	41440400	41465400	0.168509	0.440603	0.267312
Trbv1	125	41387600	41412600	0.762293	0.460318	0.718379
Trbv1	125	41597200	41622200	1	1	1
Trbv1	125	41441600	41466600	0.168509	0.440603	0.267312
Trbv1	125	41110800	41135800	1	1	1
Trbv1	125	41636400	41661400	1	1	1
Trbv1	125	41149400	41174400	0.762293	0.460318	0.718379
Trbv1	125	41075000	41100000	0.762293	0.539682	0.776797
Trbv1	125	41582200	41607200	0.762293	0.460318	0.718379
Trbv1	125	41114000	41139000	1	1	1
Trbv1	125	40856800	40881800	0.415919	0.788107	0.6934
Trbv1	125	41200800	41225800	0.762293	0.460318	0.718379
Trbv1	125	41486200	41511200	0.0530513	0.255457	0.0718436
Trbv1	125	40955600	40980600	1	1	1
Trbv1	125	41195000	41220000	0.762293	0.460318	0.718379
Trbv1	125	40903600	40928600	0.168509	0.440603	0.267312
Trbv1	125	41390600	41415600	0.762293	0.460318	0.718379
Trbv1	125	41206200	41231200	1	1	1
Trbv1	125	41078800	41103800	0.762293	0.539682	0.776797
Trbv1	125	40988400	41013400	0.762293	0.539682	0.776797
Trbv1	125	41283800	41308800	0.415919	0.291256	0.376841
Trbv1	125	41376000	41401000	1	1	1
Trbv1	125	41612600	41637600	1	1	1
Trbv1	125	41172400	41197400	1	1	1
Trbv1	125	40930600	40955600	0.0134657	0.574091	0.045321
Trbv1	125	41518400	41543400	1	1	1
Trbv1	125	41341000	41366000	0.0530513	0.744543	0.167139
Trbv1	125	41402600	41427600	0.415919	0.211893	0.302194
Trbv1	125	40875000	40900000	1	1	1
Trbv1	125	41063200	41088200	0.762293	0.539682	0.776797
Trbv1	125	41461800	41486800	0.415919	0.788107	0.6934
Trbv1	125	41518200	41543200	1	1	1
Trbv1	125	41170800	41195800	1	1	1
Trbv1	125	41494000	41519000	0.0530513	0.255457	0.0718436
Trbv1	125	41526400	41551400	1	1	1
Trbv1	125	41129000	41154000	1	1	1
Trbv1	125	41575800	41600800	0.415919	0.788107	0.6934
Trbv1	125	41042200	41067200	1	1	1
Trbv1	125	40999600	41024600	0.168509	0.157186	0.122665
Trbv1	125	41387000	41412000	0.762293	0.460318	0.718379
Trbv1	125	41347000	41372000	0.0530513	0.255457	0.0718436
Trbv1	125	40912200	40937200	0.168509	0.440603	0.267312
Trbv1	125	41518600	41543600	1	1	1
Trbv1	125	40964800	40989800	1	1	1
Trbv1	125	41494200	41519200	0.0530513	0.255457	0.0718436
Trbv1	125	40796400	40821400	0.762293	0.539682	0.776797
Trbv1	125	41487200	41512200	0.0530513	0.255457	0.0718436
Trbv1	125	41478400	41503400	0.0530513	0.255457	0.0718436
Trbv1	125	41472800	41497800	0.415919	0.788107	0.6934
Trbv1	125	41371600	41396600	1	1	1
Trbv1	125	41202600	41227600	1	1	1
Trbv1	125	41407000	41432000	0.415919	0.211893	0.302194
Trbv1	125	41032400	41057400	0.762293	0.539682	0.776797
Trbv1	125	41473000	41498000	0.415919	0.788107	0.6934
Trbv1	125	41276000	41301000	0.415919	0.291256	0.376841
Trbv1	125	41191400	41216400	0.762293	0.460318	0.718379
Trbv1	125	41232400	41257400	0.415919	0.788107	0.6934
Trbv1	125	41287600	41312600	0.762293	0.539682	0.776797
Trbv1	125	40822600	40847600	0.762293	0.539682	0.776797
Trbv1	125	41004600	41029600	0.415919	0.291256	0.376841
Trbv1	125	40890200	40915200	1	1	1
Trbv1	125	41174600	41199600	1	1	1
Trbv1	125	41374800	41399800	1	1	1
Trbv1	125	41202200	41227200	1	1	1
Trbv1	125	41538000	41563000	1	1	1
Trbv1	125	41284400	41309400	0.762293	0.539682	0.776797
Trbv1	125	40859200	40884200	0.762293	0.460318	0.718379
Trbv1	125	41459200	41484200	0.168509	0.559397	0.316882
Trbv1	125	41292600	41317600	1	1	1
Trbv1	125	41345200	41370200	0.0530513	0.255457	0.0718436
Trbv1	125	41284600	41309600	0.762293	0.539682	0.776797
Trbv1	125	41274200	41299200	0.415919	0.291256	0.376841
Trbv1	125	40869200	40894200	1	1	1
Trbv1	125	41279200	41304200	0.415919	0.291256	0.376841
Trbv1	125	41485400	41510400	0.0530513	0.255457	0.0718436
Trbv1	125	41055800	41080800	1	1	1
Trbv1	125	41317400	41342400	0.0530513	0.374252	0.0976709
Trbv1	125	40816800	40841800	0.762293	0.539682	0.776797
Trbv1	125	41094000	41119000	1	1	1
Trbv1	125	41172000	41197000	1	1	1
Trbv1	125	41649800	41674800	0.762293	0.539682	0.776797
Trbv1	125	40977600	41002600	0.762293	0.539682	0.776797
Trbv1	125	41031800	41056800	0.762293	0.539682	0.776797
Trbv1	125	41147400	41172400	0.762293	0.460318	0.718379
Trbv1	125	41658400	41683400	0.762293	0.539682	0.776797
Trbv1	125	41536600	41561600	1	1	1
Trbv1	125	40820200	40845200	0.762293	0.539682	0.776797
Trbv1	125	40994600	41019600	0.762293	0.539682	0.776797
Trbv1	125	41508800	41533800	1	1	1
Trbv1	125	40841000	40866000	0.415919	0.788107	0.6934
Trbv1	125	41538600	41563600	1	1	1
Trbv1	125	41036200	41061200	0.762293	0.539682	0.776797
Trbv1	125	41592800	41617800	0.762293	0.460318	0.718379
Trbv1	125	41046800	41071800	1	1	1
Trbv1	125	41170000	41195000	1	1	1
Trbv1	125	41369000	41394000	1	1	1
Trbv1	125	40900400	40925400	0.168509	0.440603	0.267312
Trbv1	125	41277400	41302400	0.415919	0.291256	0.376841
Trbv1	125	41231800	41256800	0.168509	0.440603	0.267312
Trbv1	125	41475800	41500800	0.415919	0.788107	0.6934
Trbv1	125	41661400	41686400	0.762293	0.539682	0.776797
Trbv1	125	41371200	41396200	1	1	1
Trbv1	125	41148000	41173000	0.762293	0.460318	0.718379
Trbv1	125	41145400	41170400	0.762293	0.460318	0.718379
Trbv1	125	41155600	41180600	0.762293	0.460318	0.718379
Trbv1	125	41502200	41527200	1	1	1
Trbv1	125	41071000	41096000	0.762293	0.539682	0.776797
Trbv1	125	40936000	40961000	0.0134657	0.574091	0.045321
Trbv1	125	41082400	41107400	0.762293	0.539682	0.776797
Trbv1	125	40809800	40834800	0.762293	0.539682	0.776797
Trbv1	125	40882800	40907800	1	1	1
Trbv1	125	40868600	40893600	1	1	1
Trbv1	125	41465000	41490000	0.415919	0.788107	0.6934
Trbv1	125	41422000	41447000	0.0530513	0.255457	0.0718436
Trbv1	125	41399600	41424600	0.415919	0.211893	0.302194
Trbv1	125	41194000	41219000	0.762293	0.460318	0.718379
Trbv1	125	41417400	41442400	0.415919	0.788107	0.6934
Trbv1	125	40931000	40956000	0.0134657	0.574091	0.045321
Trbv1	125	41578000	41603000	0.415919	0.788107	0.6934
Trbv1	125	41228400	41253400	0.168509	0.440603	0.267312
Trbv1	125	41610600	41635600	1	1	1
Trbv1	125	40923200	40948200	0.0530513	0.374252	0.0976709
Trbv1	125	41225000	41250000	0.168509	0.440603	0.267312
Trbv1	125	41399200	41424200	0.415919	0.211893	0.302194
Trbv1	125	41223600	41248600	0.168509	0.440603	0.267312
Trbv1	125	41180200	41205200	0.762293	0.460318	0.718379
Trbv1	125	40935400	40960400	0.0134657	0.574091	0.045321
Trbv1	125	41123200	41148200	1	1	1
Trbv1	125	40998800	41023800	0.168509	0.157186	0.122665
Trbv1	125	41053800	41078800	1	1	1
Trbv1	125	41388200	41413200	0.762293	0.460318	0.718379
Trbv1	125	41341400	41366400	0.0530513	0.744543	0.167139
Trbv1	125	41321200	41346200	0.0530513	0.374252	0.0976709
Trbv1	125	41106400	41131400	1	1	1
Trbv1	125	41629600	41654600	1	1	1
Trbv1	125	40866600	40891600	1	1	1
Trbv1	125	41089600	41114600	1	1	1
Trbv1	125	40893200	40918200	0.415919	0.211893	0.302194
Trbv1	125	41086400	41111400	1	1	1
Trbv1	125	41631600	41656600	1	1	1
Trbv1	125	41110400	41135400	1	1	1
Trbv1	125	41585000	41610000	0.762293	0.460318	0.718379
Trbv1	125	41223000	41248000	0.168509	0.440603	0.267312
Trbv1	125	41402200	41427200	0.415919	0.211893	0.302194
Trbv1	125	41190200	41215200	0.762293	0.460318	0.718379
Trbv1	125	41022600	41047600	0.762293	0.539682	0.776797
Trbv1	125	41458600	41483600	0.168509	0.559397	0.316882
Trbv1	125	41638000	41663000	1	1	1
Trbv1	125	41020400	41045400	0.168509	0.157186	0.122665
Trbv1	125	41471400	41496400	1	1	1
Trbv1	125	41018400	41043400	0.168509	0.157186	0.122665
Trbv1	125	41417200	41442200	0.415919	0.788107	0.6934
Trbv1	125	41480200	41505200	0.0530513	0.255457	0.0718436
Trbv1	125	41183000	41208000	0.762293	0.460318	0.718379
Trbv1	125	41434800	41459800	0.168509	0.440603	0.267312
Trbv1	125	41028200	41053200	0.762293	0.539682	0.776797
Trbv1	125	40874200	40899200	1	1	1
Trbv1	125	41181000	41206000	0.762293	0.460318	0.718379
Trbv1	125	41579600	41604600	0.762293	0.460318	0.718379
Trbv1	125	40901600	40926600	0.168509	0.440603	0.267312
Trbv1	125	41188800	41213800	0.762293	0.460318	0.718379
Trbv1	125	41406000	41431000	0.415919	0.211893	0.302194
Trbv1	125	40967000	40992000	1	1	1
Trbv1	125	41421400	41446400	0.168509	0.440603	0.267312
Trbv1	125	41057600	41082600	1	1	1
Trbv1	125	41497400	41522400	0.415919	0.211893	0.302194
Trbv1	125	41296800	41321800	1	1	1
Trbv1	125	41268400	41293400	0.415919	0.291256	0.376841
Trbv1	125	40944600	40969600	0.415919	0.788107	0.6934
Trbv1	125	41195200	41220200	0.762293	0.460318	0.718379
Trbv1	125	41539400	41564400	1	1	1
Trbv1	125	40807000	40832000	0.762293	0.539682	0.776797
Trbv1	125	41453600	41478600	0.168509	0.559397	0.316882
