readout	region	pairing	metric	value	p
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep1	fold	0	1.0
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_DP_rep2	fold	0	1.0
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep1	fold	0	1.0
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_DP_rep2	fold	0	1.0
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep1	fold	1.17647	0.35847097046572346
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_DP_rep2	fold	1.04576	0.49769153329380555
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep1	fold	1.69935	0.047515583782887075
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_DP_rep2	fold	1.83007	0.02426822140543708
reproducibility	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep1	fold	0.625002	0.7997276161173105
reproducibility	NEGCTL inter-cluster silent	DN_rep1_vs_DP_rep2	fold	0	1.0
reproducibility	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep1	fold	0.625002	0.7997276161173105
reproducibility	NEGCTL inter-cluster silent	DN_rep2_vs_DP_rep2	fold	0.625002	0.7997276161173105
reproducibility	DJ_RC (recombination center)	DN_rep1_vs_DP_rep1	fold	1.02041	0.5843948519645856
reproducibility	DJ_RC (recombination center)	DN_rep1_vs_DP_rep2	fold	0.510206	0.8605295148040579
reproducibility	DJ_RC (recombination center)	DN_rep2_vs_DP_rep1	fold	0.510206	0.8605295148040579
reproducibility	DJ_RC (recombination center)	DN_rep2_vs_DP_rep2	fold	0	1.0
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep1	fold	4.00001	0.08943389531711902
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_DP_rep2	fold	6.00002	0.013816513045153864
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep1	fold	2.00001	0.3949945194993709
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_DP_rep2	fold	6.00002	0.013816513045153864
reproducibility	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep1	fold	0.259404	0.9962120576207494
reproducibility	NEGCTL 3-prime flanking silent	DN_rep1_vs_DP_rep2	fold	0.518809	0.9493439194171032
reproducibility	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep1	fold	0.648511	0.8837636555214431
reproducibility	NEGCTL 3-prime flanking silent	DN_rep2_vs_DP_rep2	fold	1.29702	0.24731734610684644
reproducibility	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep1	fold	0	1.0
reproducibility	CH/JH/iEmu (constant region)	DN_rep1_vs_DP_rep2	fold	0	1.0
