readout	region	pairing	metric	value	p
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep1	fold	0	1.0
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_ProB_rep2	fold	0	1.0
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep1	fold	1.63936	0.4583136793762802
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_ProB_rep2	fold	0	1.0
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep1	fold	0.489402	0.9444407042324943
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_ProB_rep2	fold	1.79447	0.04733742571279015
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep1	fold	0.652536	0.8613506829887796
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_ProB_rep2	fold	1.63134	0.09208503844945458
reproducibility	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep1	fold	0	1.0
reproducibility	NEGCTL inter-cluster silent	DN_rep1_vs_ProB_rep2	fold	0	1.0
reproducibility	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep1	fold	0	1.0
reproducibility	NEGCTL inter-cluster silent	DN_rep2_vs_ProB_rep2	fold	1.69493	0.4473152132321967
reproducibility	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep1	fold	0.578041	0.8242558277873052
reproducibility	DJ_RC (recombination center)	DN_rep1_vs_ProB_rep2	fold	1.15608	0.5171375336147286
reproducibility	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep1	fold	0.578041	0.8242558277873052
reproducibility	DJ_RC (recombination center)	DN_rep2_vs_ProB_rep2	fold	0	1.0
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep1	fold	0	1.0
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_ProB_rep2	fold	0	1.0
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_ProB_rep1	fold	0	1.0
