readout	region	pairing	metric	value	p
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep1	fold	0	1.0
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep1_vs_S3T3_rep2	fold	0	1.0
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	Trbv1 (5-prime Vbeta outlier)	DN_rep2_vs_S3T3_rep2	fold	0	1.0
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep1	fold	0	1.0
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep1_vs_S3T3_rep2	fold	0.320514	0.9565356502446095
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	Vbeta cluster (Trbv2-Trbv30)	DN_rep2_vs_S3T3_rep2	fold	0.320514	0.9565356502446095
reproducibility	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep1	fold	0	1.0
reproducibility	NEGCTL inter-cluster silent	DN_rep1_vs_S3T3_rep2	fold	0	1.0
reproducibility	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	NEGCTL inter-cluster silent	DN_rep2_vs_S3T3_rep2	fold	0	1.0
reproducibility	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep1	fold	8.14819	1.433734326299189e-07
reproducibility	DJ_RC (recombination center)	DN_rep1_vs_S3T3_rep2	fold	6.6667	1.0067131741189947e-05
reproducibility	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep1	fold	8.88893	1.4819119123325762e-08
reproducibility	DJ_RC (recombination center)	DN_rep2_vs_S3T3_rep2	fold	8.88893	1.4819119123325762e-08
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep1	fold	2.77779	0.30358661989240837
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep1_vs_S3T3_rep2	fold	0	1.0
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	Ebeta/Trbv31/CBE3 (EbKO deletion)	DN_rep2_vs_S3T3_rep2	fold	0	1.0
reproducibility	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep1	fold	0.793655	0.7664612990186168
reproducibility	NEGCTL 3-prime flanking silent	DN_rep1_vs_S3T3_rep2	fold	0.661379	0.8735391604698335
reproducibility	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep1	fold	1.45503	0.14186382319542978
reproducibility	NEGCTL 3-prime flanking silent	DN_rep2_vs_S3T3_rep2	fold	0.793655	0.7664612990186168
reproducibility	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep1	fold	3.7736	0.0014651251053794992
reproducibility	CH/JH/iEmu (constant region)	DN_rep1_vs_S3T3_rep2	fold	0.471701	0.8812480151027429
reproducibility	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep1	fold	4.71701	6.535051207673502e-05
reproducibility	CH/JH/iEmu (constant region)	DN_rep2_vs_S3T3_rep2	fold	2.3585	0.06316733820574882
reproducibility	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep1	fold	2.70272	0.310550781978888
reproducibility	DH cluster (diversity segments)	DN_rep1_vs_S3T3_rep2	fold	0	1.0
reproducibility	DH cluster (diversity segments)	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	DH cluster (diversity segments)	DN_rep2_vs_S3T3_rep2	fold	0	1.0
reproducibility	VH proximal (~1.4 Mb)	DN_rep1_vs_S3T3_rep1	fold	1.17648	0.4201226476922116
reproducibility	VH proximal (~1.4 Mb)	DN_rep1_vs_S3T3_rep2	fold	1.88236	0.0664389681129754
reproducibility	VH proximal (~1.4 Mb)	DN_rep2_vs_S3T3_rep1	fold	0.941181	0.6149436496869274
reproducibility	VH proximal (~1.4 Mb)	DN_rep2_vs_S3T3_rep2	fold	0.235295	0.9860406252660647
reproducibility	VH distal (~1.1 Mb)	DN_rep1_vs_S3T3_rep1	fold	1.03093	0.5256784210404509
reproducibility	VH distal (~1.1 Mb)	DN_rep1_vs_S3T3_rep2	fold	0	1.0
reproducibility	VH distal (~1.1 Mb)	DN_rep2_vs_S3T3_rep1	fold	0.171822	0.9971192454224902
reproducibility	VH distal (~1.1 Mb)	DN_rep2_vs_S3T3_rep2	fold	0.515467	0.9304741730549695
reproducibility	Gapdh (housekeeping)	DN_rep1_vs_S3T3_rep1	fold	0	1.0
reproducibility	Gapdh (housekeeping)	DN_rep1_vs_S3T3_rep2	fold	0	1.0
reproducibility	Gapdh (housekeeping)	DN_rep2_vs_S3T3_rep1	fold	0	1.0
reproducibility	Gapdh (housekeeping)	DN_rep2_vs_S3T3_rep2	fold	0	1.0
reproducibility	Actb (housekeeping)	DN_rep1_vs_S3T3_rep1	fold	0	1.0
