comparison	floor	bins_tested	null_scores	bins_bh_significant	min_pval
DN_vs_DP	0.1	9922404	1104872698	3158	1.0861e-08
DN_vs_DP	0.25	8068961	952867316	3169	1.25936e-08
DN_vs_DP	0.5	5013000	702145794	3232	1.70905e-08
DN_vs_DP	1	1282987	321036715	3512	3.73789e-08
DN_vs_DP	1.5	238071	114793248	3924	1.04536e-07
DN_vs_EbKO	0.1	9383795	1098563575	1124	4.5514e-08
DN_vs_EbKO	0.25	7532667	957052207	1130	5.22438e-08
DN_vs_EbKO	0.5	4592733	722306571	1154	6.92227e-08
DN_vs_EbKO	1	1073514	341370154	1265	1.46469e-07
DN_vs_EbKO	1.5	204799	128911720	1372	3.87862e-07
DN_vs_ProB	0.1	9848212	1101128870	3481	9.08159e-10
DN_vs_ProB	0.25	8191409	957173811	3499	1.04474e-09
DN_vs_ProB	0.5	5292409	717964839	3589	1.39283e-09
DN_vs_ProB	1	1532822	338589966	3940	2.95342e-09
DN_vs_ProB	1.5	329357	126383324	4489	7.91244e-09
DN_vs_S3T3	0.1	9610736	1095187726	12167	8.21777e-09
DN_vs_S3T3	0.25	8157789	954513295	12296	9.42889e-09
DN_vs_S3T3	0.5	5520287	718630078	12844	1.25238e-08
DN_vs_S3T3	1	1839061	341302176	15130	2.63696e-08
DN_vs_S3T3	1.5	563500	128860367	16888	6.9843e-08
