real_region	n_bins	null_chrom	null_start	p_combined
NEGCTL_3flanking_silent	850	chr12	76867000	0.626893
NEGCTL_3flanking_silent	850	chr15	44329200	0.151293
NEGCTL_3flanking_silent	850	chr11	26704600	0.0562951
NEGCTL_3flanking_silent	850	chr19	6045200	0.953619
NEGCTL_3flanking_silent	850	chr13	86568200	0.543052
NEGCTL_3flanking_silent	850	chr2	140807600	0.660419
NEGCTL_3flanking_silent	850	chr7	71670800	0.863809
NEGCTL_3flanking_silent	850	chr17	34395800	0.0624454
NEGCTL_3flanking_silent	850	chr9	50960600	0.0976326
NEGCTL_3flanking_silent	850	chr7	118930200	0.774921
NEGCTL_3flanking_silent	850	chr4	86471200	0.634854
NEGCTL_3flanking_silent	850	chr1	165819200	0.27984
NEGCTL_3flanking_silent	850	chr9	100813400	0.000442364
NEGCTL_3flanking_silent	850	chr13	83854200	1
NEGCTL_3flanking_silent	850	chr18	31733400	0.765139
NEGCTL_3flanking_silent	850	chr16	66204600	0.957785
NEGCTL_3flanking_silent	850	chr3	124173600	0.297194
NEGCTL_3flanking_silent	850	chr10	66004600	0.799933
NEGCTL_3flanking_silent	850	chr3	8321800	0.44599
NEGCTL_3flanking_silent	850	chr11	109778600	0.185221
NEGCTL_3flanking_silent	850	chr18	66065400	0.531234
NEGCTL_3flanking_silent	850	chr5	137184800	0.112934
NEGCTL_3flanking_silent	850	chr10	48831400	1
NEGCTL_3flanking_silent	850	chr3	74467800	0.86977
NEGCTL_3flanking_silent	850	chr10	17918800	0.457744
NEGCTL_3flanking_silent	850	chr4	87075800	0.877592
NEGCTL_3flanking_silent	850	chr7	97969600	0.132311
NEGCTL_3flanking_silent	850	chr15	65835400	0.648169
NEGCTL_3flanking_silent	850	chr5	107069600	0.184209
NEGCTL_3flanking_silent	850	chr15	46438800	0.74754
NEGCTL_3flanking_silent	850	chr6	118861000	0.207328
NEGCTL_3flanking_silent	850	chr5	36375400	0.871423
NEGCTL_3flanking_silent	850	chr2	122903800	0.524525
NEGCTL_3flanking_silent	850	chr3	129012800	0.93839
NEGCTL_3flanking_silent	850	chr12	2493400	1
NEGCTL_3flanking_silent	850	chr9	58624600	0.887225
NEGCTL_3flanking_silent	850	chr12	85362000	0.0606082
NEGCTL_3flanking_silent	850	chr7	73736800	0.577178
NEGCTL_3flanking_silent	850	chr2	104476800	0.323557
NEGCTL_3flanking_silent	850	chr2	81581800	0.880052
NEGCTL_3flanking_silent	850	chr10	85517600	1
NEGCTL_3flanking_silent	850	chr8	11062000	0.111025
NEGCTL_3flanking_silent	850	chr9	95094800	1.95537e-07
NEGCTL_3flanking_silent	850	chr8	13821200	0.848391
NEGCTL_3flanking_silent	850	chr5	83608600	0.447941
NEGCTL_3flanking_silent	850	chr1	67782000	0.778097
NEGCTL_3flanking_silent	850	chr3	70144400	0.193602
NEGCTL_3flanking_silent	850	chr7	143639200	0.187274
NEGCTL_3flanking_silent	850	chr4	131249800	0.425549
NEGCTL_3flanking_silent	850	chr1	166367200	0.441873
NEGCTL_3flanking_silent	850	chr5	42720000	0.051413
NEGCTL_3flanking_silent	850	chr9	15976400	0.0895997
NEGCTL_3flanking_silent	850	chr12	118083600	0.711789
NEGCTL_3flanking_silent	850	chr7	95772400	0.956815
NEGCTL_3flanking_silent	850	chr12	39454200	0.576177
NEGCTL_3flanking_silent	850	chr1	33051600	0.249843
NEGCTL_3flanking_silent	850	chr2	140530200	0.641714
NEGCTL_3flanking_silent	850	chr7	103050600	0.44211
NEGCTL_3flanking_silent	850	chr3	143868600	0.744098
NEGCTL_3flanking_silent	850	chr2	89781200	0.620649
NEGCTL_3flanking_silent	850	chr11	61127000	0.455049
NEGCTL_3flanking_silent	850	chr5	102705200	0.814286
NEGCTL_3flanking_silent	850	chr6	93545600	0.86366
NEGCTL_3flanking_silent	850	chr2	21180400	0.227747
NEGCTL_3flanking_silent	850	chr18	34142800	0.730461
NEGCTL_3flanking_silent	850	chr11	108590200	0.00183086
NEGCTL_3flanking_silent	850	chr4	119170200	0.659611
NEGCTL_3flanking_silent	850	chr11	96002800	0.00057934
NEGCTL_3flanking_silent	850	chr4	71412200	1
NEGCTL_3flanking_silent	850	chr2	82097800	0.150853
NEGCTL_3flanking_silent	850	chr7	129361000	0.0996108
NEGCTL_3flanking_silent	850	chr3	115414400	0.829548
NEGCTL_3flanking_silent	850	chr14	39686400	0.129018
NEGCTL_3flanking_silent	850	chr3	73624600	0.824749
NEGCTL_3flanking_silent	850	chr13	100863200	0.882556
NEGCTL_3flanking_silent	850	chr11	81528600	0.625925
NEGCTL_3flanking_silent	850	chr9	52930600	0.122928
NEGCTL_3flanking_silent	850	chr14	13274000	0.770419
NEGCTL_3flanking_silent	850	chr2	117023400	8.07124e-05
NEGCTL_3flanking_silent	850	chr7	112375800	0.781617
NEGCTL_3flanking_silent	850	chr10	7584600	0.852913
NEGCTL_3flanking_silent	850	chr5	98675000	0.367375
NEGCTL_3flanking_silent	850	chr2	27835400	0.815451
NEGCTL_3flanking_silent	850	chr14	98678800	0.871423
NEGCTL_3flanking_silent	850	chr17	15851800	0.918595
NEGCTL_3flanking_silent	850	chr14	42756200	1
NEGCTL_3flanking_silent	850	chr1	31471600	0.231209
NEGCTL_3flanking_silent	850	chr10	123793600	0.80273
NEGCTL_3flanking_silent	850	chr12	7957400	0.419868
NEGCTL_3flanking_silent	850	chr10	13461800	0.658978
NEGCTL_3flanking_silent	850	chr10	57067400	0.974859
NEGCTL_3flanking_silent	850	chr14	114241000	0.792573
NEGCTL_3flanking_silent	850	chr10	105753200	0.0307305
NEGCTL_3flanking_silent	850	chr5	39757000	0.200741
NEGCTL_3flanking_silent	850	chr8	108949200	0.760104
NEGCTL_3flanking_silent	850	chr1	87344000	0.57197
NEGCTL_3flanking_silent	850	chr15	2693800	1
NEGCTL_3flanking_silent	850	chr2	162137600	0.952347
NEGCTL_3flanking_silent	850	chr8	41009600	0.733993
NEGCTL_3flanking_silent	850	chr11	13290600	0.25566
NEGCTL_3flanking_silent	850	chr4	39090000	0.852268
NEGCTL_3flanking_silent	850	chr13	79993600	1
NEGCTL_3flanking_silent	850	chr13	37889600	0.884181
