real_region	n_bins	null_chrom	null_start	p_combined
Trbv1	125	chr12	78085400	0.92646
Trbv1	125	chr15	45546600	0.50685
Trbv1	125	chr11	24535400	0.571986
Trbv1	125	chr19	5718600	1
Trbv1	125	chr13	86558000	0.493936
Trbv1	125	chr2	152252000	0.67441
Trbv1	125	chr17	60587600	0.519108
Trbv1	125	chr15	57073800	0.547625
Trbv1	125	chr4	69163600	1
Trbv1	125	chr8	114809400	1
Trbv1	125	chr15	6609600	1
Trbv1	125	chr9	20572400	0.613742
Trbv1	125	chr6	112928000	0.00338017
Trbv1	125	chr18	40641800	1
Trbv1	125	chr12	107028600	1
Trbv1	125	chr3	58328000	0.316715
Trbv1	125	chr1	91022400	1
Trbv1	125	chr3	108777800	0.73266
Trbv1	125	chr13	44319800	1
Trbv1	125	chr5	146232600	1
Trbv1	125	chr6	11879200	0.69257
Trbv1	125	chr3	75326400	0.692151
Trbv1	125	chr2	125142200	0.252844
Trbv1	125	chr4	74455800	1
Trbv1	125	chr9	116315400	0.696686
Trbv1	125	chr15	45335000	0.493936
Trbv1	125	chr11	12528800	0.722296
Trbv1	125	chr15	32685200	0.636734
Trbv1	125	chr12	100895800	1
Trbv1	125	chr5	58884400	1
Trbv1	125	chr11	77307000	0.253762
Trbv1	125	chr3	23024800	0.137687
Trbv1	125	chr1	155719600	0.711016
Trbv1	125	chr9	98209400	1
Trbv1	125	chr11	34330800	1
Trbv1	125	chr7	113102400	0.388493
Trbv1	125	chr8	5010800	0.450718
Trbv1	125	chr2	25550600	0.589838
Trbv1	125	chr9	81753600	0.801334
Trbv1	125	chr8	61023800	0.481118
Trbv1	125	chr13	69075000	0.530754
Trbv1	125	chr8	82409400	1
Trbv1	125	chr8	102675200	0.515113
Trbv1	125	chr1	59935800	4.30439e-05
Trbv1	125	chr7	142908000	0.766592
Trbv1	125	chr7	31085800	1
Trbv1	125	chr15	3894600	0.664195
Trbv1	125	chr1	46160400	1
Trbv1	125	chr4	143505600	0.678103
Trbv1	125	chr9	36446000	1
Trbv1	125	chr8	65173600	0.519108
Trbv1	125	chr9	97444000	0.64581
Trbv1	125	chr7	61111600	1
Trbv1	125	chr3	129641800	1
Trbv1	125	chr1	21178000	1
Trbv1	125	chr13	11022000	0.443603
Trbv1	125	chr7	103834000	0.684781
Trbv1	125	chr10	21383200	0.761363
Trbv1	125	chr2	90485000	1
Trbv1	125	chr7	101203400	1
Trbv1	125	chr6	35815000	0.374559
Trbv1	125	chr9	38015800	0.290646
Trbv1	125	chr6	142905600	0.64723
Trbv1	125	chr2	16637400	0.757792
Trbv1	125	chr18	32917600	0.762918
Trbv1	125	chr11	110748000	0.811876
Trbv1	125	chr4	119223400	0.722296
Trbv1	125	chr11	95949400	0.77912
Trbv1	125	chr4	69941000	1
Trbv1	125	chr2	81621000	1
Trbv1	125	chr7	130608400	1
Trbv1	125	chr3	115414600	1
Trbv1	125	chr14	38573800	0.480314
Trbv1	125	chr3	74454000	0.498842
Trbv1	125	chr13	103003400	0.359623
Trbv1	125	chr11	80644000	0.0288184
Trbv1	125	chr9	54094000	0.116774
Trbv1	125	chr14	12465000	0.547625
Trbv1	125	chr2	118038200	1
Trbv1	125	chr7	113846400	1
Trbv1	125	chr10	6180000	0.74082
Trbv1	125	chr5	99836800	0.57199
Trbv1	125	chr2	26709400	0.00609122
Trbv1	125	chr14	98600400	1
Trbv1	125	chr17	16161000	0.571631
Trbv1	125	chr14	56113000	0.282905
Trbv1	125	chr14	43138400	1
Trbv1	125	chr1	30063800	0.400296
Trbv1	125	chr10	125022600	1
Trbv1	125	chr12	7797400	1
Trbv1	125	chr10	10889200	0.753972
Trbv1	125	chr10	57956600	1
Trbv1	125	chr14	116736400	1
Trbv1	125	chr10	104928200	0.52199
Trbv1	125	chr5	41163800	0.571986
Trbv1	125	chr8	109429400	0.0650404
Trbv1	125	chr1	85403400	1
Trbv1	125	chr15	1831400	1
Trbv1	125	chr2	162410600	1
Trbv1	125	chr8	41051000	0.581119
Trbv1	125	chr11	14026400	0.627205
Trbv1	125	chr4	38454200	1
Trbv1	125	chr13	79326800	0.288043
Trbv1	125	chr13	38667800	0.849723
Trbv1	125	chr17	10248200	1
Trbv1	125	chr4	37295400	1
Trbv1	125	chr8	5592600	1
Trbv1	125	chr6	46212400	1
Trbv1	125	chr12	99705400	1
Trbv1	125	chr5	30963400	0.265165
Trbv1	125	chr5	144294600	0.388493
Trbv1	125	chr10	117678200	0.759097
Trbv1	125	chr17	24627200	1
Trbv1	125	chr3	85006000	1
Trbv1	125	chr7	6730600	1
Trbv1	125	chr19	9804400	0.64771
Trbv1	125	chr13	106619000	1
