real_region	n_bins	null_chrom	null_start	p_combined
Trbv1	125	chr12	78085400	1
Trbv1	125	chr15	45546600	1
Trbv1	125	chr11	24535400	1
Trbv1	125	chr19	5718600	1
Trbv1	125	chr13	86558000	1
Trbv1	125	chr2	152252000	0.478453
Trbv1	125	chr17	60587600	1
Trbv1	125	chr15	57073800	1
Trbv1	125	chr4	69163600	1
Trbv1	125	chr8	114809400	1
Trbv1	125	chr15	6609600	1
Trbv1	125	chr9	20572400	1
Trbv1	125	chr6	112928000	0.427548
Trbv1	125	chr18	40641800	1
Trbv1	125	chr12	107028600	1
Trbv1	125	chr3	58328000	1
Trbv1	125	chr1	91022400	1
Trbv1	125	chr3	108777800	1
Trbv1	125	chr13	44319800	1
Trbv1	125	chr5	146232600	1
Trbv1	125	chr6	11879200	1
Trbv1	125	chr3	75326400	1
Trbv1	125	chr2	125142200	1
Trbv1	125	chr4	74455800	1
Trbv1	125	chr9	116315400	1
Trbv1	125	chr15	45335000	1
Trbv1	125	chr11	12528800	1
Trbv1	125	chr15	32685200	1
Trbv1	125	chr12	100895800	1
Trbv1	125	chr5	58884400	1
Trbv1	125	chr11	77307000	0.368503
Trbv1	125	chr3	23024800	1
Trbv1	125	chr1	155719600	1
Trbv1	125	chr9	98209400	1
Trbv1	125	chr11	34330800	1
Trbv1	125	chr7	113102400	1
Trbv1	125	chr8	5010800	1
Trbv1	125	chr2	25550600	1
Trbv1	125	chr9	81753600	1
Trbv1	125	chr8	61023800	0.255989
Trbv1	125	chr13	69075000	1
Trbv1	125	chr8	82409400	1
Trbv1	125	chr8	102675200	1
Trbv1	125	chr1	59935800	4.37699e-05
Trbv1	125	chr7	142908000	1
Trbv1	125	chr7	31085800	1
Trbv1	125	chr15	3894600	1
Trbv1	125	chr1	46160400	1
Trbv1	125	chr4	143505600	1
Trbv1	125	chr9	36446000	1
Trbv1	125	chr8	65173600	1
Trbv1	125	chr9	97444000	1
Trbv1	125	chr7	61111600	1
Trbv1	125	chr3	129641800	1
Trbv1	125	chr1	21178000	1
Trbv1	125	chr13	11022000	1
Trbv1	125	chr7	103834000	1
Trbv1	125	chr10	21383200	1
Trbv1	125	chr2	90485000	0.427548
Trbv1	125	chr7	101203400	1
Trbv1	125	chr6	35815000	1
Trbv1	125	chr9	38015800	1
Trbv1	125	chr6	142905600	0.367894
Trbv1	125	chr2	16637400	0.413732
Trbv1	125	chr18	32917600	1
Trbv1	125	chr11	110748000	1
Trbv1	125	chr4	119223400	0.422416
Trbv1	125	chr11	95949400	1
Trbv1	125	chr4	69941000	1
Trbv1	125	chr2	81621000	1
Trbv1	125	chr7	130608400	1
Trbv1	125	chr3	115414600	1
Trbv1	125	chr14	38573800	1
Trbv1	125	chr3	74454000	1
Trbv1	125	chr13	103003400	1
Trbv1	125	chr11	80644000	1
Trbv1	125	chr9	54094000	1
Trbv1	125	chr14	12465000	1
Trbv1	125	chr2	118038200	1
Trbv1	125	chr7	113846400	1
Trbv1	125	chr10	6180000	1
Trbv1	125	chr5	99836800	1
Trbv1	125	chr2	26709400	1
Trbv1	125	chr14	98600400	1
Trbv1	125	chr17	16161000	1
Trbv1	125	chr14	56113000	1
Trbv1	125	chr14	43138400	1
Trbv1	125	chr1	30063800	1
Trbv1	125	chr10	125022600	1
Trbv1	125	chr12	7797400	1
Trbv1	125	chr10	10889200	1
Trbv1	125	chr10	57956600	1
Trbv1	125	chr14	116736400	1
Trbv1	125	chr10	104928200	1
Trbv1	125	chr5	41163800	1
Trbv1	125	chr8	109429400	1
Trbv1	125	chr1	85403400	1
Trbv1	125	chr15	1831400	1
Trbv1	125	chr2	162410600	1
Trbv1	125	chr8	41051000	1
Trbv1	125	chr11	14026400	1
Trbv1	125	chr4	38454200	1
Trbv1	125	chr13	79326800	1
Trbv1	125	chr13	38667800	1
Trbv1	125	chr17	10248200	0.398963
Trbv1	125	chr4	37295400	1
Trbv1	125	chr8	5592600	1
Trbv1	125	chr6	46212400	1
Trbv1	125	chr12	99705400	0.359311
Trbv1	125	chr5	30963400	1
Trbv1	125	chr5	144294600	1
Trbv1	125	chr10	117678200	1
Trbv1	125	chr17	24627200	1
Trbv1	125	chr3	85006000	1
Trbv1	125	chr7	6730600	1
Trbv1	125	chr19	9804400	1
Trbv1	125	chr13	106619000	1
Trbv1	125	chr16	22131600	1
Trbv1	125	chr8	115329200	1
Trbv1	125	chr5	3453200	1
Trbv1	125	chr9	95752000	1
Trbv1	125	chr6	132213800	1
Trbv1	125	chr13	11871600	1
Trbv1	125	chr4	1680600	1
Trbv1	125	chr4	146507400	0.225757
Trbv1	125	chr2	12423800	1
Trbv1	125	chr2	150624600	0.624578
Trbv1	125	chr3	58483000	1
Trbv1	125	chr16	58846000	1
Trbv1	125	chr3	44776800	1
Trbv1	125	chr12	37201800	1
Trbv1	125	chr18	45580600	1
Trbv1	125	chr2	91505600	1
Trbv1	125	chr1	34643800	1
Trbv1	125	chr2	41838600	1
Trbv1	125	chr11	118005800	1
Trbv1	125	chr10	16347800	1
Trbv1	125	chr11	93010800	1
Trbv1	125	chr3	92963000	1
Trbv1	125	chr12	3452400	1
Trbv1	125	chr13	85853400	1
Trbv1	125	chr2	79274400	1
Trbv1	125	chr17	12236600	0.398963
Trbv1	125	chr6	145302000	0.000108422
Trbv1	125	chr10	39696800	1
Trbv1	125	chr9	39475600	1
Trbv1	125	chr5	144732800	1
Trbv1	125	chr17	47199400	0.398963
Trbv1	125	chr8	3858200	1
Trbv1	125	chr9	104630000	1
Trbv1	125	chr2	20050600	1
Trbv1	125	chr7	1072200	1
Trbv1	125	chr14	120181800	1
Trbv1	125	chr17	70275800	1
Trbv1	125	chr10	104852400	1
Trbv1	125	chr12	101809200	1
Trbv1	125	chr2	3243200	1
Trbv1	125	chr15	25869600	0.15878
Trbv1	125	chr4	124687800	1
Trbv1	125	chr8	98636000	1
Trbv1	125	chr16	59425400	1
Trbv1	125	chr14	36317200	1
Trbv1	125	chr6	61762600	1
Trbv1	125	chr7	17260600	1
Trbv1	125	chr16	63520200	1
Trbv1	125	chr7	77429600	1
Trbv1	125	chr4	39344400	1
Trbv1	125	chr13	101075800	1
Trbv1	125	chr2	148318800	1
Trbv1	125	chr1	92643800	1
Trbv1	125	chr2	108316600	1
Trbv1	125	chr15	33284400	0.594678
Trbv1	125	chr2	56367400	1
Trbv1	125	chr17	56631600	1
Trbv1	125	chr5	25825800	1
Trbv1	125	chr3	72745600	1
Trbv1	125	chr1	22627200	1
Trbv1	125	chr1	38503600	1
Trbv1	125	chr1	34154800	1
Trbv1	125	chr14	64789600	1
Trbv1	125	chr6	102066800	1
Trbv1	125	chr5	149444000	1
Trbv1	125	chr16	49892800	1
Trbv1	125	chr15	55551200	1
Trbv1	125	chr3	7104400	1
Trbv1	125	chr4	35789400	1
Trbv1	125	chr14	31335800	1
Trbv1	125	chr7	41570800	1
Trbv1	125	chr6	7972800	1
Trbv1	125	chr8	115385800	1
Trbv1	125	chr15	11255400	1
Trbv1	125	chr1	79190200	1
Trbv1	125	chr2	167925200	1
Trbv1	125	chr15	82948000	1
Trbv1	125	chr19	55091400	1
Trbv1	125	chr12	69154800	1
Trbv1	125	chr9	97066600	1
Trbv1	125	chr12	88686400	1
Trbv1	125	chr8	17929800	1
Trbv1	125	chr10	125976800	1
Trbv1	125	chr7	124639800	1
Trbv1	125	chr6	102957600	1
Trbv1	125	chr4	100020000	1
Trbv1	125	chr2	78966400	1
Trbv1	125	chr7	69164600	1
Trbv1	125	chr4	53313800	1
Trbv1	125	chr6	55490000	1
Trbv1	125	chr5	66102200	1
Trbv1	125	chr11	46741800	1
Trbv1	125	chr5	120407200	1
Trbv1	125	chr17	89973800	1
Trbv1	125	chr10	100420000	1
Trbv1	125	chr8	42282200	1
Trbv1	125	chr15	50466200	1
Trbv1	125	chr12	77986200	1
Trbv1	125	chr8	98845400	1
Trbv1	125	chr5	96180000	1
Trbv1	125	chr13	4599800	1
Trbv1	125	chr11	24548200	1
Trbv1	125	chr16	89604200	1
Trbv1	125	chr14	17238000	1
Trbv1	125	chr2	113556000	1
Trbv1	125	chr2	131839400	1
Trbv1	125	chr17	68768600	1
Trbv1	125	chr18	12968800	1
Trbv1	125	chr12	49307400	1
Trbv1	125	chr12	71560800	1
Trbv1	125	chr12	111596600	0.367894
Trbv1	125	chr4	147554800	0.150927
Trbv1	125	chr14	6766600	1
Trbv1	125	chr14	12065600	1
Trbv1	125	chr3	20887600	1
Trbv1	125	chr14	70587800	1
Trbv1	125	chr10	88666600	1
Trbv1	125	chr13	62974200	1
Trbv1	125	chr12	62062200	1
Trbv1	125	chr14	61386000	1
Trbv1	125	chr17	79516800	1
Trbv1	125	chr2	22223800	1
Trbv1	125	chr2	88971000	1
Trbv1	125	chr7	95907000	1
Trbv1	125	chr12	25272600	1
Trbv1	125	chr5	101721200	1
Trbv1	125	chr16	79570800	1
Trbv1	125	chr4	118828200	1
Trbv1	125	chr6	79506000	1
Trbv1	125	chr3	50370000	0.184599
Trbv1	125	chr2	15948600	1
